cluster,size,mean_intra_cosine_pairs,mean_to_centroid,nearest_other_centroid,centroid_margin
13893,10161,0.9906306266784668,0.9953547716140747,0.9987441301345825,-0.0033893585205078125
13830,1894,0.9834280014038086,0.9916439056396484,0.9921932816505432,-0.0005493760108947754
13787,1798,0.96602463722229,0.9831231832504272,0.9946261048316956,-0.01150292158126831
13777,1757,0.9764336943626404,0.9881452322006226,0.9959028363227844,-0.007757604122161865
13763,1193,0.9750343561172485,0.9876143336296082,0.9950687885284424,-0.0074544548988342285
13469,945,0.9846484661102295,0.9923257827758789,0.9977826476097107,-0.005456864833831787
13257,781,0.9706369042396545,0.9853766560554504,0.9903225898742676,-0.004945933818817139
13174,776,0.9788762927055359,0.989335298538208,0.9917175769805908,-0.0023822784423828125
12217,759,0.9788334369659424,0.9891942739486694,0.9947755336761475,-0.005581259727478027
13200,756,0.9827725291252136,0.991338849067688,0.9966667890548706,-0.005327939987182617
13864,740,0.979853093624115,0.9898853302001953,0.9965967535972595,-0.006711423397064209
9037,516,0.943950355052948,0.970965564250946,0.9301410913467407,0.04082447290420532
13329,512,0.9779962301254272,0.9888085126876831,0.9900245666503906,-0.0012160539627075195
13310,501,0.9235414862632751,0.9611631631851196,0.9824801683425903,-0.021317005157470703
13896,499,0.9660704135894775,0.9835070371627808,0.9835764169692993,-6.937980651855469e-05
635,451,0.9753435254096985,0.9875820279121399,0.9757933616638184,0.011788666248321533
13922,434,0.9438965916633606,0.9716047048568726,0.9900245666503906,-0.018419861793518066
13344,326,0.9869583249092102,0.993461012840271,0.9969615936279297,-0.0035005807876586914
13831,319,0.964103639125824,0.9818714261054993,0.9943057894706726,-0.01243436336517334
13462,298,0.9853590130805969,0.9926400184631348,0.9959441423416138,-0.003304123878479004
13916,288,0.9764138460159302,0.9881713390350342,0.9943969249725342,-0.0062255859375
13178,275,0.9807762503623962,0.9903275966644287,0.9919388890266418,-0.0016112923622131348
13408,257,0.9500346779823303,0.9750328660011292,0.9685946702957153,0.006438195705413818
13262,256,0.9416526556015015,0.9700999855995178,0.9767993092536926,-0.006699323654174805
13467,253,0.952446699142456,0.9759643077850342,0.9865697026252747,-0.010605394840240479
2893,239,0.9697512984275818,0.9850541949272156,0.9309630393981934,0.05409115552902222
13141,236,0.9643394947052002,0.9820510745048523,0.9933762550354004,-0.011325180530548096
13898,236,0.9837943315505981,0.9919679164886475,0.996324896812439,-0.004356980323791504
13019,232,0.9788832068443298,0.9894238710403442,0.9930940270423889,-0.0036701560020446777
13282,231,0.9422198534011841,0.9700745344161987,0.9573768377304077,0.012697696685791016
13364,222,0.933437705039978,0.9660536050796509,0.9876201748847961,-0.021566569805145264
13179,222,0.9540808200836182,0.9770938158035278,0.9902197122573853,-0.013125896453857422
13191,219,0.9559571743011475,0.9780051112174988,0.9901628494262695,-0.012157738208770752
13507,217,0.9765546917915344,0.9883317351341248,0.9948666095733643,-0.006534874439239502
10763,211,0.9615455269813538,0.9808522462844849,0.9754738807678223,0.005378365516662598
13418,195,0.9681248664855957,0.9839906096458435,0.993334174156189,-0.009343564510345459
158,193,0.9616422057151794,0.9802786111831665,0.9689515233039856,0.011327087879180908
13622,182,0.9644597768783569,0.982261061668396,0.9881929755210876,-0.00593191385269165
13478,178,0.959624707698822,0.9797930717468262,0.977492094039917,0.0023009777069091797
13314,172,0.9804900884628296,0.9901315569877625,0.991832971572876,-0.0017014145851135254
13555,165,0.9509507417678833,0.9753538966178894,0.973816454410553,0.0015374422073364258
13978,163,0.9494753479957581,0.9744730591773987,0.989002525806427,-0.01452946662902832
13885,159,0.933879017829895,0.9664344191551208,0.9798245429992676,-0.013390123844146729
12524,156,0.9434791207313538,0.9712843298912048,0.9723834991455078,-0.0010991692543029785
12509,141,0.9345502853393555,0.9668017625808716,0.9654016494750977,0.0014001131057739258
13745,130,0.9735099673271179,0.9869149923324585,0.9948091506958008,-0.007894158363342285
13417,128,0.9544106721878052,0.9772719144821167,0.9686158895492554,0.008656024932861328
13849,127,0.9888527989387512,0.9944274425506592,0.9949997663497925,-0.0005723237991333008
