obs. type,parameter,value,upper error,lower error,journal,lead author,month,year,num cites,reference,arXiv,Notes
other,Omega_baryon,0.036,0.002,0,ApJ,Burles,11,1998,316,http://adsabs.harvard.edu/abs/1998ApJ...507..732B,astro-ph/9712109,Can’t find value in paper (h parameterised)
lensing,H_0,52,7,-4,ApJ,Burud,11,2000,61,http://adsabs.harvard.edu/abs/2000ApJ...544..117B,astro-ph/0007136,
LSS,Omega_M,0,0,0,ApJ,Carlberg,8,1990,39,http://adsabs.harvard.edu/abs/1990ApJ...359L...1C,,Zeroes? Need to check in article
LSS,Omega_Lambda,0,0,0,ApJ,Carlberg,7,1991,16,http://adsabs.harvard.edu/abs/1991ApJ...375..429C,,Zeroes? Need to check in article
Clusters,Omega_M,0.24,0.13,0,ApJ,Carlberg,5,1996,420,http://adsabs.harvard.edu/abs/1996ApJ...462...32C,astro-ph/9509034,
Clusters,Omega_M,0.4,0.2,0,ApJ,Carlberg,4,1997,134,http://adsabs.harvard.edu/abs/1997ApJ...479L..19C,astro-ph/9612169,
Clusters,Sigma_8,0.75,0.1,0,ApJ,Carlberg,4,1997,134,http://adsabs.harvard.edu/abs/1997ApJ...479L..19C,astro-ph/9612169,
Clusters,Omega_M,0.2,0.1,0,ApJ,Carlberg,4,1997,134,http://adsabs.harvard.edu/abs/1997ApJ...479L..19C,astro-ph/9612169,
Clusters,Sigma_8,0.95,0.1,0,ApJ,Carlberg,4,1997,134,http://adsabs.harvard.edu/abs/1997ApJ...479L..19C,astro-ph/9612169,
lensing,Omega_M,0.26,0.12,-0.08,ApJ,Chae,4,2007,20,http://adsabs.harvard.edu/abs/2007ApJ...658L..71C,astro-ph/0611898,
lensing,H_0,69,18,-12,ApJ,Chae,10,1999,16,http://adsabs.harvard.edu/abs/1999ApJ...524..582C,astro-ph/9906179,
lensing,Sigma_8,1,0.2,0,ApJ,Chang,12,2004,18,http://adsabs.harvard.edu/abs/2004ApJ...617..794C,astro-ph/0408548,
lensing,Sigma_8,1,0.3,0,ApJ,Chen,4,2003,22,http://adsabs.harvard.edu/abs/2003ApJ...587L..55C,astro-ph/0301037,
other,H_0,93,1,0,ApJ,Chiba,3,1995,10,http://adsabs.harvard.edu/abs/1995ApJ...442...82C,astro-ph/9409083,
lensing,Omega_M,0.3,0.2,-0.1,ApJ,Chiba,1,1999,92,http://adsabs.harvard.edu/abs/1999ApJ...510...42C,astro-ph/9808321,Omega_M correct? Just Omega?
CMB,Omega_M,0.264,0.038,0,ApJ,Chiu,12,2003,47,http://adsabs.harvard.edu/abs/2003ApJ...599..759C,astro-ph/0304234,Omega_M correct? Just Omega?
other,H_0,78,7,0,ApJ,Ciardullo,9,2002,76,http://adsabs.harvard.edu/abs/2002ApJ...577...31C,astro-ph/0206177,
Clusters,Omega_M,0,0,0,ApJ,Cirimele,1,1997,42,http://adsabs.harvard.edu/abs/1997ApJ...475...11C,,Zeroes? Need to check in article
SN,Omega_Lambda,0.71,0.06,-0.05,ApJ,Clocchiatt,5,2006,51,,,Can’t find
lensing,Omega_Lambda,0,0,0,ApJ,Cooray,2,1999,33,http://adsabs.harvard.edu/abs/1999ApJ...511..562C,astro-ph/9806080,I think this is right… Lower limit given in article – why zero here?
lensing,Omega_M,0,0,0,ApJ,Cooray,10,1999,19,http://adsabs.harvard.edu/abs/1999ApJ...524..504C,astro-ph/9904245,Why zero here?
Clusters,Omega_baryon,0.19,0.07,0,ApJ,Cruddace,2,1997,4,http://adsabs.harvard.edu/abs/1997ApJ...476..479C,,Value not in abstract – check article
lensing,Sigma_8,0.67,0.04,0,ApJ,Dahle,12,2006,38,http://adsabs.harvard.edu/abs/2006ApJ...653..954D,astro-ph/0608480,
other,Omega_M,0.35,0.15,0,ApJ,Dai,9,2004,85,http://adsabs.harvard.edu/abs/2004ApJ...612L.101D,astro-ph/0407497,
other,w_0,-0.84,0.57,-0.83,ApJ,Dai,9,2004,85,http://adsabs.harvard.edu/abs/2004ApJ...612L.101D,astro-ph/0407497,
Clusters,Omega_M,0.15,0.05,0,ApJ,David,6,1995,224,http://adsabs.harvard.edu/abs/1995ApJ...445..578D,,
z distort,Omega_M,0.14,0.05,0,ApJ,Davis,11,1997,42,http://adsabs.harvard.edu/abs/1997ApJ...490...63D,astro-ph/9705224,
CMB,n,0.95,0.13,-0.08,ApJ,DeBernardi,9,1994,16,,,Both papers seem to be non-astro?
pec vels,Beta,1.28,0.38,-0.3,ApJ,Dekel,7,1993,134,http://adsabs.harvard.edu/abs/1993ApJ...412....1D,,
pec vels,Omega_M,0,0,0,ApJ,Dekel,2,1994,59,http://adsabs.harvard.edu/abs/1994ApJ...422L...1D,astro-ph/9308029,Zero values?
Clusters,Omega_M,0.27,0.1,0,ApJ,Donahue,10,1999,65,http://adsabs.harvard.edu/abs/1999ApJ...523L.137D,astro-ph/9907333,More than one value actually given in abstract
combined,Omega_M,0.36,0.21,-0.11,ApJ,Durrer,1,2003,38,http://adsabs.harvard.edu/abs/2003ApJ...583...33D,astro-ph/0111594,
combined,Omega_Lambda,0.64,0.14,-0.27,ApJ,Durrer,1,2003,38,http://adsabs.harvard.edu/abs/2003ApJ...583...33D,astro-ph/0111594,
combined,n,1,0.59,-0.17,ApJ,Durrer,1,2003,38,http://adsabs.harvard.edu/abs/2003ApJ...583...33D,astro-ph/0111594,
combined,H_0,65,35,-27,ApJ,Durrer,1,2003,38,http://adsabs.harvard.edu/abs/2003ApJ...583...33D,astro-ph/0111594,
combined,Omega_baryon,0.047,0.093,-0.024,ApJ,Durrer,1,2003,38,http://adsabs.harvard.edu/abs/2003ApJ...583...33D,astro-ph/0111594,
LSS,Sigma_8,0.68,0.09,0,ApJ,Einasto,7,1999,19,http://adsabs.harvard.edu/abs/1999ApJ...519..456E,astro-ph/9812248,More than one value actually given in abstract
LSS,Gamma,0.28,-0.09,0,ApJ,Eisenstein,1,2001,47,http://adsabs.harvard.edu/abs/2001ApJ...546....2E,astro-ph/9912149,Range data in abstract
BAO,Omega_M,0.273,0.025,0,ApJ,Eisenstein,11,2005,1050,http://adsabs.harvard.edu/abs/2005ApJ...633..560E,astro-ph/0501171,
BAO,Omega_K,-0.01,0.009,0,ApJ,Eisenstein,11,2005,1050,http://adsabs.harvard.edu/abs/2005ApJ...633..560E,astro-ph/0501171,
Clusters,Sigma_8,1.04,0.104,0,ApJ,Evrard,7,2002,224,http://adsabs.harvard.edu/abs/2002ApJ...573....7E,astro-ph/0110246,
lensing,H_0,79.3,6.7,-8.5,ApJ,Fadely,3,2010,6,http://adsabs.harvard.edu/abs/2010ApJ...711..246F,0909.1807,
lensing,H_0,62,7,0,ApJ,Falco,7,1997,55,http://adsabs.harvard.edu/abs/1997ApJ...484...70F,astro-ph/9702152,
lensing,Omega_M,1.15,0.51,0,ApJ,Falco,2,1998,196,http://adsabs.harvard.edu/abs/1998ApJ...494...47F,astro-ph/9707032,"Maybe this one, but I can’t find referenced value in text"
Clusters,Sigma_8,0.83,0.15,0,ApJ,Fan,12,1997,71,http://adsabs.harvard.edu/abs/1997ApJ...490L.123F,astro-ph/9709265,
Clusters,Omega_M,0.3,0.1,0,ApJ,Fan,12,1997,71,http://adsabs.harvard.edu/abs/1997ApJ...490L.123F,astro-ph/9709265,
Clusters,Omega_M,0.3,0.05,0,ApJ,Fan,4,2001,25,http://adsabs.harvard.edu/abs/2001ApJ...550..547F,astro-ph/0011452,
