experiment_name,algorithm,distance_metric,preprocessing,total_time,n_clusters,noise_ratio,clustered_ratio,min_cluster_size,max_cluster_size,avg_cluster_size,cluster_size_std,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia
kmeans_euclidean_raw,kmeans,euclidean,none,1.242422,8,0.0,1.0,182,53489,20810.0,21625.138040021848,0.20268206888506762,15852.623926133641,2.146476766943134,23161.553148648938
kmeans_euclidean_standard,kmeans,euclidean,standard,1.337416,8,0.0,1.0,135,154557,20810.0,50579.362856801585,0.1492205534308193,715.8361128126096,2.358328082526457,31030144.162845287
kmeans_cosine_l2norm,kmeans,cosine,l2_normalize,1.350579,8,0.0,1.0,1495,130600,20810.0,41680.563018030356,0.38975885999146115,11549.270670728054,1.9500629710502673,40267.0815904403
kmeans_euclidean_tfidf,kmeans,euclidean,tfidf,1.538438,8,0.0,1.0,1919,74555,20810.0,29300.155878424946,0.1905134999571339,6346.308066316411,2.237699943807237,93945.98187273911
kmeans_euclidean_pca20,kmeans,euclidean,pca,0.43904600000000005,8,0.0,1.0,2256,52898,20810.0,20185.700644267963,0.3444059621109794,41504.72053924616,1.290186896505028,9853.821267845271
kmeans_euclidean_svd30,kmeans,euclidean,svd,2.5581509999999996,8,0.0,1.0,882,52886,20810.0,21175.88872397095,0.29507370600252036,29099.10436209361,1.5415270391260725,12961.57079494734
kmeans_euclidean_nmf15,kmeans,euclidean,nmf,3.6377509999999997,8,0.0,1.0,1410,92183,20810.0,32033.020439852375,0.33745073760509087,16027.481647559507,1.1576427636342883,239.01776394777013
hdbscan_euclidean_standard_min10,hdbscan,euclidean,standard,5580.860769,1655,0.46906535319557907,0.5309346468044209,10,33063,53.40785498489426,813.4592403858445,0.8905209424785032,8606.55483540161,0.4664530506773041,98494.78836602916
hdbscan_euclidean_standard_min15,hdbscan,euclidean,standard,5655.9342830000005,1132,0.49060547813551175,0.5093945218644882,15,33063,74.91519434628975,982.9285342326308,0.887977032576181,9303.406728675876,0.4500673663202236,104294.26725812133
hdbscan_manhattan_robust_min10,hdbscan,manhattan,robust,4092.494009,1602,0.49022104757328205,0.5097789524267179,10,33063,52.97627965043695,826.8166066669902,0.9101679680207646,19144.625818925935,0.5886380309352603,194.76263826780865
hdbscan_euclidean_svd30_min10,hdbscan,euclidean,svd,103.39201800000001,2406,0.36170711196540123,0.6382928880345987,10,33063,44.16583541147132,674.9522752845198,0.8444569147615157,32555.98203204893,0.5450732704902984,28.064930580961285
