paper_id,kmeans_K100,hdbmerge_K100
704.0009,0,0
704.0017,0,0
704.0048,0,0
704.0059,0,0
704.008,50,0
704.0094,0,0
704.0128,55,0
704.0133,0,0
704.0138,0,0
704.0139,21,0
704.0155,43,0
704.0171,35,0
704.0175,0,0
704.0187,21,0
704.019,77,90
704.0192,0,0
704.0205,68,0
704.0209,0,0
704.0219,18,44
704.0222,1,0
704.0226,0,0
704.023,35,0
704.0234,0,0
704.0237,0,0
704.0238,0,0
704.0253,0,0
704.0256,0,0
704.0265,70,0
704.0267,0,0
704.0269,0,0
704.027,0,0
704.0276,6,18
704.0279,0,0
704.028,66,46
704.029,0,0
704.0297,0,0
704.0299,26,1
704.0303,30,0
704.0307,0,0
704.031,0,0
704.0312,22,0
704.0316,63,0
704.0344,0,0
704.0346,28,60
704.035,0,0
704.0351,60,0
704.0355,1,0
704.0356,71,0
704.0381,26,0
704.0387,35,0
704.0401,63,0
704.0421,0,0
704.0428,35,0
704.0441,0,0
704.0448,0,0
704.0452,80,0
704.0455,0,0
704.0458,25,0
704.046,0,0
704.0463,0,0
704.0467,0,0
704.047,56,0
704.0477,0,0
704.0478,18,0
704.0513,64,5
704.0518,0,0
704.0543,52,0
704.0547,63,0
704.055,35,0
704.0552,0,0
704.0574,0,0
704.0578,0,0
704.0579,63,0
704.0586,0,0
704.0603,0,0
704.0616,0,0
704.0617,35,0
704.0626,18,0
704.0637,68,0
704.0643,10,0
704.0645,70,0
704.0654,35,0
704.0655,0,0
704.0657,0,0
704.0666,4,1
704.0674,0,0
704.0676,0,0
704.0682,0,0
704.0706,0,0
704.0718,0,0
704.0735,0,0
704.074,0,0
704.0768,0,0
704.0774,63,0
704.0789,35,0
704.0791,0,0
704.0792,0,0
704.0794,51,0
704.0799,0,0
704.0806,80,0
704.0809,59,0
704.0812,0,0
704.0816,0,0
704.0819,53,0
704.0823,0,0
704.0826,18,0
704.0827,86,0
704.0835,0,0
704.0862,63,0
704.0871,70,0
704.0873,0,0
704.0877,2,0
704.0882,0,0
704.089,0,0
704.0899,35,0
704.0904,38,0
