cluster,size,mean_intra_cosine_pairs,mean_to_centroid,nearest_other_centroid,centroid_margin
6,6923,0.9711701273918152,0.9853896498680115,0.9932483434677124,-0.007858693599700928
107,4013,0.9901590347290039,0.9950328469276428,0.9949442744255066,8.857250213623047e-05
170,2810,0.9780226945877075,0.9888731241226196,0.9862246513366699,0.002648472785949707
17,2706,0.9756118059158325,0.9877204298973083,0.9919849634170532,-0.004264533519744873
134,2456,0.9132859706878662,0.955967903137207,0.9481551647186279,0.007812738418579102
160,2020,0.9261251091957092,0.9623993039131165,0.9690378904342651,-0.006638586521148682
62,1700,0.9521414041519165,0.9755544662475586,0.9837532043457031,-0.008198738098144531
25,1561,0.9756690859794617,0.9877523183822632,0.9872203469276428,0.0005319714546203613
39,1347,0.8965870141983032,0.9471389055252075,0.971696138381958,-0.02455723285675049
129,1297,0.9347984194755554,0.9672639966011047,0.9608965516090393,0.00636744499206543
122,1238,0.9085612893104553,0.9532275199890137,0.9761050939559937,-0.02287757396697998
88,1195,0.9080576300621033,0.9540014266967773,0.9481551647186279,0.005846261978149414
150,1176,0.9758962392807007,0.9879430532455444,0.9949442744255066,-0.007001221179962158
45,1174,0.9367863535881042,0.9685276746749878,0.9863104820251465,-0.01778280735015869
125,1121,0.9358928203582764,0.967562735080719,0.9632879495620728,0.00427478551864624
16,1103,0.9777276515960693,0.9889339804649353,0.9932483434677124,-0.0043143630027771
105,1030,0.9020071029663086,0.9495354294776917,0.9552342891693115,-0.005698859691619873
7,1020,0.9719997644424438,0.9860031008720398,0.9848988056182861,0.0011042952537536621
173,898,0.93543541431427,0.9671390056610107,0.956558108329773,0.010580897331237793
190,868,0.9191082119941711,0.9590092897415161,0.9491217136383057,0.00988757610321045
179,765,0.9726574420928955,0.9859360456466675,0.9869198203086853,-0.0009837746620178223
155,758,0.9521449208259583,0.9759902358055115,0.9717423319816589,0.004247903823852539
162,740,0.8921062350273132,0.9449338912963867,0.9606258869171143,-0.01569199562072754
184,706,0.9130920767784119,0.955184817314148,0.9673382043838501,-0.012153387069702148
183,703,0.9434425234794617,0.9709345698356628,0.9639895558357239,0.006945013999938965
158,691,0.9487156867980957,0.9741230607032776,0.9662988185882568,0.007824242115020752
56,658,0.9081705808639526,0.9526196718215942,0.9719290733337402,-0.019309401512145996
92,656,0.920676589012146,0.959899365901947,0.9785252213478088,-0.018625855445861816
141,655,0.9634211659431458,0.9815308451652527,0.9770707488059998,0.00446009635925293
35,649,0.9848818182945251,0.9924353957176208,0.9965087175369263,-0.00407332181930542
90,585,0.9231685996055603,0.960780143737793,0.9443034529685974,0.016476690769195557
108,570,0.9302924871444702,0.9638753533363342,0.967185378074646,-0.0033100247383117676
109,569,0.9089636206626892,0.9537603259086609,0.9580811262130737,-0.004320800304412842
1,567,0.9706786870956421,0.9851807355880737,0.9259201884269714,0.059260547161102295
2,559,0.9548918604850769,0.977383553981781,0.9590521454811096,0.018331408500671387
157,543,0.971556544303894,0.9853225350379944,0.9894484877586365,-0.00412595272064209
156,508,0.9602868556976318,0.9801363945007324,0.9746364951133728,0.005499899387359619
145,501,0.9556502103805542,0.9776814579963684,0.9714956283569336,0.0061858296394348145
91,498,0.9344589710235596,0.9663854837417603,0.9652857780456543,0.001099705696105957
102,492,0.9445098638534546,0.9721289873123169,0.9562300443649292,0.015898942947387695
112,491,0.9383505582809448,0.9688435196876526,0.9775421023368835,-0.008698582649230957
144,467,0.9329143762588501,0.9658799171447754,0.9553977251052856,0.010482192039489746
127,458,0.9465958476066589,0.9732152223587036,0.9775421023368835,-0.004326879978179932
171,448,0.955531656742096,0.9775376915931702,0.9835996031761169,-0.006061911582946777
22,420,0.9825098514556885,0.991510272026062,0.9862246513366699,0.00528562068939209
165,414,0.9373413324356079,0.9682325124740601,0.9649674296379089,0.003265082836151123
180,412,0.9385290145874023,0.9684374928474426,0.9859519004821777,-0.017514407634735107
60,405,0.964762806892395,0.9820849299430847,0.983010470867157,-0.0009255409240722656
95,401,0.9044479727745056,0.9522693753242493,0.9586502909660339,-0.006380915641784668
10,398,0.9141432642936707,0.9566584229469299,0.9600951671600342,-0.003436744213104248
50,397,0.9440113306045532,0.9711471796035767,0.9555180072784424,0.015629172325134277
94,396,0.9450368285179138,0.9722119569778442,0.9651494026184082,0.007062554359436035
124,389,0.9548028707504272,0.9771946668624878,0.9761050939559937,0.0010895729064941406
154,387,0.9131694436073303,0.9557152986526489,0.9529345035552979,0.0027807950973510742
161,379,0.9512574076652527,0.9755370616912842,0.9807220697402954,-0.0051850080490112305
55,378,0.9116228222846985,0.9549130797386169,0.9515556693077087,0.003357410430908203
137,377,0.9338934421539307,0.9661439657211304,0.9560462832450867,0.010097682476043701
12,374,0.9468342661857605,0.972813069820404,0.9563503265380859,0.016462743282318115
188,365,0.9191160798072815,0.9596298336982727,0.9519425630569458,0.007687270641326904
149,362,0.9749125242233276,0.9874114394187927,0.9908252954483032,-0.003413856029510498
185,357,0.9098821878433228,0.9536662697792053,0.9675135612487793,-0.013847291469573975
33,347,0.9749279022216797,0.9876030087471008,0.9889464974403381,-0.0013434886932373047
52,328,0.9237357378005981,0.9613959789276123,0.9598433971405029,0.001552581787109375
86,326,0.9290396571159363,0.964065432548523,0.9521319270133972,0.011933505535125732
29,322,0.9343838095664978,0.9666344523429871,0.9741529226303101,-0.007518470287322998
23,316,0.9759039282798767,0.9877834916114807,0.9850401282310486,0.002743363380432129
104,315,0.9378736615180969,0.9688848853111267,0.9531978368759155,0.01568704843521118
153,307,0.9303045868873596,0.9646785259246826,0.9694736003875732,-0.004795074462890625
0,304,0.9680025577545166,0.9839258790016174,0.8630185127258301,0.12090736627578735
27,303,0.9513696432113647,0.9752791523933411,0.9701755046844482,0.005103647708892822
101,301,0.9425069093704224,0.9710878133773804,0.9401040077209473,0.030983805656433105
72,290,0.9498437643051147,0.9747913479804993,0.976783037185669,-0.0019916892051696777
70,290,0.9268710613250732,0.9625385999679565,0.9442310333251953,0.01830756664276123
118,287,0.9525967836380005,0.9757446646690369,0.9730640053749084,0.002680659294128418
3,284,0.9739945530891418,0.9868965744972229,0.971696138381958,0.015200436115264893
113,282,0.9516458511352539,0.975979745388031,0.9752594232559204,0.0007203221321105957
40,262,0.9093780517578125,0.9542489051818848,0.9645735025405884,-0.010324597358703613
189,257,0.941322922706604,0.9703262448310852,0.9614719748497009,0.008854269981384277
130,257,0.9398108124732971,0.9694243669509888,0.9470043182373047,0.022420048713684082
74,257,0.920803427696228,0.959729015827179,0.9598177671432495,-8.875131607055664e-05
136,257,0.959403932094574,0.9793793559074402,0.9860816597938538,-0.006702303886413574
135,249,0.9550009369850159,0.9773017168045044,0.9659119844436646,0.011389732360839844
34,244,0.989152729511261,0.9944799542427063,0.9965087175369263,-0.0020287632942199707
11,243,0.9588327407836914,0.979188084602356,0.9647426009178162,0.014445483684539795
110,239,0.9319858551025391,0.9657330513000488,0.9682847261428833,-0.0025516748428344727
76,239,0.9546364545822144,0.9769071340560913,0.9761335849761963,0.0007735490798950195
49,231,0.980591356754303,0.9904254078865051,0.9923214912414551,-0.0018960833549499512
146,227,0.9429957270622253,0.9711350798606873,0.9596284627914429,0.011506617069244385
115,226,0.9214463829994202,0.9598915576934814,0.9652007818222046,-0.0053092241287231445
100,226,0.9439828991889954,0.9711595177650452,0.9578651785850525,0.013294339179992676
78,225,0.94319748878479,0.9707349538803101,0.9688697457313538,0.0018652081489562988
163,224,0.9252137541770935,0.9622189402580261,0.9649674296379089,-0.0027484893798828125
121,222,0.9483821988105774,0.9740874767303467,0.9682847261428833,0.005802750587463379
120,215,0.9318805932998657,0.965844452381134,0.9758537411689758,-0.010009288787841797
63,215,0.9360637068748474,0.967999279499054,0.9715015888214111,-0.0035023093223571777
123,214,0.9416201114654541,0.9704954028129578,0.9658216238021851,0.004673779010772705
66,213,0.91150963306427,0.9552279710769653,0.9580811262130737,-0.0028531551361083984
106,211,0.983271598815918,0.991543710231781,0.9948787689208984,-0.0033350586891174316
54,206,0.9521946907043457,0.9757046699523926,0.9785153269767761,-0.002810657024383545
48,202,0.9225550293922424,0.960456907749176,0.9534868001937866,0.006970107555389404
36,201,0.9177236557006836,0.9582613110542297,0.941905677318573,0.01635563373565674
77,199,0.9304013252258301,0.965003252029419,0.9547700881958008,0.010233163833618164
119,194,0.9179669618606567,0.957247257232666,0.9427955150604248,0.014451742172241211
143,192,0.9104430079460144,0.9544074535369873,0.9652007818222046,-0.010793328285217285
89,191,0.9451993703842163,0.9720963835716248,0.9692342281341553,0.0028621554374694824
79,180,0.9206724166870117,0.9601206183433533,0.9673382043838501,-0.007217586040496826
19,180,0.9763291478157043,0.9881975054740906,0.9625698328018188,0.02562767267227173
168,178,0.9515136480331421,0.9753519296646118,0.9692342281341553,0.006117701530456543
178,174,0.9413896203041077,0.970083475112915,0.9613444805145264,0.008738994598388672
148,173,0.9519273042678833,0.9756247401237488,0.9380770921707153,0.03754764795303345
174,172,0.9607159495353699,0.9800780415534973,0.9605197906494141,0.019558250904083252
187,172,0.9349297285079956,0.967584490776062,0.9675135612487793,7.092952728271484e-05
47,169,0.9285736083984375,0.964095950126648,0.9623802900314331,0.0017156600952148438
147,167,0.9446855187416077,0.9724899530410767,0.9531558156013489,0.019334137439727783
59,167,0.9554191827774048,0.9774754047393799,0.9690274000167847,0.008448004722595215
42,167,0.9334536194801331,0.9661288857460022,0.9675009846687317,-0.0013720989227294922
46,167,0.9520992636680603,0.9758067727088928,0.967185378074646,0.008621394634246826
85,166,0.9378483891487122,0.9687323570251465,0.9199784994125366,0.04875385761260986
138,164,0.9310517311096191,0.9645472168922424,0.9719290733337402,-0.007381856441497803
26,163,0.939943790435791,0.9702824354171753,0.9701755046844482,0.00010693073272705078
139,163,0.9023191928863525,0.9502161741256714,0.9364074468612671,0.013808727264404297
133,161,0.9469113945960999,0.9730672240257263,0.9611085653305054,0.011958658695220947
58,157,0.9607110619544983,0.9799295663833618,0.9647426009178162,0.015186965465545654
81,157,0.9442467093467712,0.9716687798500061,0.9584337472915649,0.013235032558441162
38,155,0.9172704815864563,0.9588552117347717,0.9550384283065796,0.0038167834281921387
114,154,0.9295036792755127,0.964533805847168,0.9612604379653931,0.0032733678817749023
57,153,0.9342701435089111,0.9669169783592224,0.9515292644500732,0.01538771390914917
75,153,0.9345295429229736,0.9670302271842957,0.9785252213478088,-0.011494994163513184
15,151,0.9493060111999512,0.9743462204933167,0.9524490833282471,0.02189713716506958
97,148,0.9666852355003357,0.9831746816635132,0.9746364951133728,0.00853818655014038
51,146,0.937881588935852,0.9688248038291931,0.9472547769546509,0.021570026874542236
176,145,0.9609354734420776,0.9806117415428162,0.9473674297332764,0.033244311809539795
169,143,0.9409429430961609,0.9702849388122559,0.9488847255706787,0.02140021324157715
87,141,0.9449476599693298,0.9723907113075256,0.9602517485618591,0.012138962745666504
175,137,0.9449906945228577,0.9727603793144226,0.9534140229225159,0.01934635639190674
21,135,0.9892211556434631,0.9946175813674927,0.9852794408798218,0.009338140487670898
24,134,0.9850096702575684,0.9925116896629333,0.9872203469276428,0.005291342735290527
31,131,0.8822290301322937,0.9396049976348877,0.917052686214447,0.022552311420440674
13,124,0.9160667657852173,0.9576987028121948,0.9590521454811096,-0.001353442668914795
5,121,0.9557765126228333,0.9778255224227905,0.9618650674819946,0.0159604549407959
64,117,0.9390827417373657,0.9693301320075989,0.9715015888214111,-0.002171456813812256
103,115,0.9482288360595703,0.9735517501831055,0.9608076810836792,0.01274406909942627
83,114,0.9364030957221985,0.967927098274231,0.9726113080978394,-0.0046842098236083984
128,114,0.9329427480697632,0.9659620523452759,0.967261552810669,-0.0012995004653930664
98,113,0.9528246521949768,0.9766445755958557,0.9401000142097473,0.0365445613861084
99,110,0.9560953974723816,0.9778293967247009,0.9741529226303101,0.003676474094390869
18,110,0.9551854729652405,0.9772779941558838,0.9605314135551453,0.016746580600738525
71,108,0.931516706943512,0.965739905834198,0.9630447626113892,0.002695143222808838
20,107,0.9682263135910034,0.9842275977134705,0.9464603066444397,0.03776729106903076
140,107,0.9660494327545166,0.98308265209198,0.9770707488059998,0.006011903285980225
181,106,0.9386752843856812,0.9689018726348877,0.9286527633666992,0.04024910926818848
131,106,0.9512186050415039,0.9754807949066162,0.9552028179168701,0.020277976989746094
132,105,0.9604605436325073,0.9803653359413147,0.9585268497467041,0.021838486194610596
41,104,0.9275110960006714,0.9633948802947998,0.9410098791122437,0.022385001182556152
93,104,0.9537834525108337,0.9763521552085876,0.9534140229225159,0.022938132286071777
32,104,0.9620754718780518,0.9811305999755859,0.9558647871017456,0.025265812873840332
73,104,0.9371750950813293,0.9676291942596436,0.9524490833282471,0.015180110931396484
8,103,0.8965952396392822,0.9467968940734863,0.9561878442764282,-0.009390950202941895
65,102,0.9300291538238525,0.9646574854850769,0.9491842985153198,0.01547318696975708
159,102,0.9533730745315552,0.9766790270805359,0.9545322060585022,0.02214682102203369
84,102,0.9587194323539734,0.9795350432395935,0.9808979630470276,-0.001362919807434082
152,102,0.966964840888977,0.9834204316139221,0.9808979630470276,0.0025224685668945312
43,101,0.9283574223518372,0.9644209742546082,0.9500282406806946,0.014392733573913574
116,97,0.9536890387535095,0.9765315055847168,0.9639895558357239,0.01254194974899292
186,96,0.9442239999771118,0.9720592498779297,0.9491217136383057,0.022937536239624023
117,96,0.9316149950027466,0.9651678204536438,0.9758537411689758,-0.010685920715332031
172,95,0.9369785189628601,0.9682320952415466,0.9655665159225464,0.002665579319000244
167,95,0.9488742351531982,0.9740960597991943,0.9630431532859802,0.011052906513214111
28,95,0.9421820044517517,0.9708501696586609,0.9515796899795532,0.019270479679107666
151,95,0.9409125447273254,0.9703908562660217,0.9355578422546387,0.03483301401138306
30,94,0.9264203906059265,0.9624523520469666,0.955148458480835,0.007303893566131592
126,94,0.9640150666236877,0.9820094704627991,0.9658216238021851,0.016187846660614014
53,91,0.9488539099693298,0.9743481278419495,0.9343546032905579,0.0399935245513916
82,89,0.9459821581840515,0.9729770421981812,0.9668329954147339,0.006144046783447266
177,88,0.9732718467712402,0.9867404699325562,0.9785753488540649,0.008165121078491211
142,88,0.972444474697113,0.9861894249916077,0.9860816597938538,0.00010776519775390625
14,86,0.9475024342536926,0.9738175272941589,0.9648826122283936,0.00893491506576538
4,86,0.9854386448860168,0.992737352848053,0.9929481148719788,-0.00021076202392578125
182,84,0.9679736495018005,0.9840492010116577,0.9662988185882568,0.01775038242340088
67,84,0.9665924310684204,0.983401358127594,0.9659119844436646,0.017489373683929443
61,83,0.9586551785469055,0.9798429608345032,0.9837532043457031,-0.003910243511199951
164,83,0.9390235543251038,0.9697635769844055,0.9462612867355347,0.02350229024887085
80,82,0.9096720814704895,0.9545651078224182,0.9550384283065796,-0.00047332048416137695
